Estimator,Mean Acc,SD,Main strategy
emcee+sk_ridge,0.728,0.07600000000000001,median
emcee,0.7179999999999999,0.05963220606350231,posterior_mean
sk_lda_pca+ridge,0.764,0.057131427428342804,
sk_lda_fpca+ridge,0.764,0.062481997407253215,
fpca+sk_logistic,0.76,0.06572670690061994,
sk_flda_fpls1_basis,0.76,0.04381780460041329,
sk_lda_lasso,0.758,0.05399999999999999,
pca+sk_logistic,0.756,0.06621178142898738,
sk_lda_pls+ridge,0.756,0.05351635264103859,
sk_lda_manual+ridge,0.754,0.04103656905736639,
sk_lda_rmh+ridge,0.754,0.042,
rmh+sk_svm_rbf,0.754,0.049030602688525056,
sk_flda_apls,0.752,0.04995998398718719,
rkvs+sk_logistic,0.752,0.04118252056394802,
rmh+sk_svm_lin,0.75,0.046690470119715013,
manual_sel+sk_svm_rbf,0.748,0.06337191807101943,
fpca+sk_svm_lin,0.746,0.06327716807822552,
manual_sel+sk_svm_lin,0.744,0.06248199740725324,
pca+sk_svm_lin,0.744,0.08187795796183488,
fpca+sk_svm_rbf,0.744,0.0417612260356422,
manual_sel+sk_logistic,0.744,0.06858571279792898,
rmh+sk_logistic,0.742,0.046000000000000006,
pls+sk_logistic,0.74,0.06131883886702355,
pca+sk_svm_rbf,0.74,0.05585696017507578,
rkvs+sk_svm_rbf,0.74,0.06066300355241242,
rkvs+sk_svm_lin,0.738,0.04935585071701225,
sk_fnc,0.734,0.05517245689653488,
sk_lda_pls1,0.732,0.05075431016179807,
pls+sk_svm_lin,0.726,0.05517245689653487,
sk_fknn,0.716,0.03322649545167229,
pls+sk_svm_rbf,0.704,0.043634848458542846,
sk_flda_l2_basis,0.704,0.07838367176906169,
sk_mdc,0.7,0.05291502622129181,
