Estimator,Mean MSE,SD,Main strategy
emcee+ridge,0.5315473955072847,0.07521974000101272,mean
emcee,0.576325976491591,0.11695082392573558,mode
lasso,0.5328108808025454,0.07604030863344641,
fpls1_basis,0.5422438899502231,0.06968983557384228,
manual_sel+ridge,0.5434058368379094,0.07516751775490275,
pls+ridge,0.5501023426190181,0.07823838277079635,
fpca+ridge,0.5535928404534156,0.07686189653527407,
apls,0.5538400752929145,0.07484727164655307,
pca+ridge,0.5546647972470531,0.07663750753965225,
pls1,0.5553049200225215,0.07560938089604664,
flin_basis,0.5553202012171069,0.08961787708390126,
fknn,0.6555595858282441,0.0823659456062132,
rmh+ridge,0.7251913697347694,0.12313362324789268,
